date,rate,cumulative_rate,season
2020-10-03,0.0,0.0,2020-21
2020-10-10,0.0,0.0,2020-21
2020-10-17,0.0,0.0,2020-21
2020-10-24,0.0,0.0,2020-21
2020-10-31,0.0,0.0,2020-21
2020-11-07,0.0,0.0,2020-21
2020-11-14,0.0,0.0,2020-21
2020-11-21,0.0,0.0,2020-21
2020-11-28,0.0,0.0,2020-21
2020-12-05,0.0,0.0,2020-21
2020-12-12,0.0,0.0,2020-21
2020-12-19,0.0,0.1,2020-21
2020-12-26,0.0,0.1,2020-21
2021-01-02,0.0,0.1,2020-21
2021-01-09,0.0,0.1,2020-21
2021-01-16,0.0,0.1,2020-21
2021-01-23,0.0,0.1,2020-21
2021-01-30,0.0,0.1,2020-21
2021-02-06,0.0,0.1,2020-21
2021-02-13,0.0,0.1,2020-21
2021-02-20,0.0,0.1,2020-21
2021-02-27,0.0,0.1,2020-21
2021-03-06,0.0,0.1,2020-21
2021-03-13,0.0,0.1,2020-21
2021-03-20,0.0,0.2,2020-21
2021-03-27,0.0,0.2,2020-21
2021-04-03,0.0,0.2,2020-21
2021-04-10,0.1,0.3,2020-21
2021-04-17,0.0,0.3,2020-21
2021-04-24,0.0,0.3,2020-21
2021-05-01,0.1,0.4,2020-21
2021-05-08,0.1,0.5,2020-21
2021-05-15,0.2,0.7,2020-21
2021-05-22,0.2,0.9,2020-21
2021-05-29,0.2,1.0,2020-21
2021-06-05,0.2,1.3,2020-21
2021-06-12,0.2,1.5,2020-21
2021-06-19,0.3,1.8,2020-21
2021-06-26,0.3,2.1,2020-21
2021-07-03,0.4,2.5,2020-21
2021-07-10,0.4,2.9,2020-21
2021-07-17,0.6,3.5,2020-21
2021-07-24,0.8,4.3,2020-21
2021-07-31,0.8,5.0,2020-21
2021-08-07,0.9,5.9,2020-21
2021-08-14,0.9,6.8,2020-21
2021-08-21,0.8,7.7,2020-21
2021-08-28,0.9,8.6,2020-21
2021-09-04,0.9,9.5,2020-21
2021-09-11,0.9,10.4,2020-21
2021-09-18,0.8,11.3,2020-21
2021-09-25,0.8,12.1,2020-21
2021-10-02,1.0,13.1,2020-21
2021-10-09,0.9,0.9,2021-22
2021-10-16,1.0,2.0,2021-22
2021-10-23,1.0,3.0,2021-22
2021-10-30,1.0,4.0,2021-22
2021-11-06,1.1,5.2,2021-22
2021-11-13,1.1,6.3,2021-22
2021-11-20,1.2,7.5,2021-22
2021-11-27,1.1,8.5,2021-22
2021-12-04,1.3,9.8,2021-22
2021-12-11,1.3,11.2,2021-22
2021-12-18,1.2,12.4,2021-22
2021-12-25,1.1,13.5,2021-22
2022-01-01,1.1,14.6,2021-22
2022-01-08,0.9,15.5,2021-22
2022-01-15,0.5,15.9,2021-22
2022-01-22,0.4,16.3,2021-22
2022-01-29,0.2,16.5,2021-22
2022-02-05,0.2,16.8,2021-22
2022-02-12,0.1,16.9,2021-22
2022-02-19,0.2,17.1,2021-22
2022-02-26,0.2,17.2,2021-22
2022-03-05,0.1,17.4,2021-22
2022-03-12,0.2,17.6,2021-22
2022-03-19,0.2,17.8,2021-22
2022-03-26,0.1,17.9,2021-22
2022-04-02,0.2,18.1,2021-22
2022-04-09,0.2,18.3,2021-22
2022-04-16,0.2,18.5,2021-22
2022-04-23,0.2,18.7,2021-22
2022-04-30,0.2,18.9,2021-22
2022-05-07,0.1,19.1,2021-22
2022-05-14,0.2,19.3,2021-22
2022-05-21,0.2,19.5,2021-22
2022-05-28,0.2,19.7,2021-22
2022-06-04,0.3,19.9,2021-22
2022-06-11,0.3,20.2,2021-22
2022-06-18,0.4,20.6,2021-22
2022-06-25,0.3,20.9,2021-22
2022-07-02,0.2,21.2,2021-22
2022-07-09,0.3,21.5,2021-22
2022-07-16,0.4,21.9,2021-22
2022-07-23,0.4,22.3,2021-22
2022-07-30,0.4,22.7,2021-22
2022-08-06,0.4,23.2,2021-22
2022-08-13,0.4,23.6,2021-22
2022-08-20,0.4,24.0,2021-22
2022-08-27,0.5,24.5,2021-22
2022-09-03,0.5,25.1,2021-22
2022-09-10,0.6,25.7,2021-22
2022-09-17,0.9,26.6,2021-22
2022-09-24,1.0,27.6,2021-22
2022-10-01,1.2,28.8,2021-22
2022-10-08,1.6,1.6,2022-23
2022-10-15,2.5,4.1,2022-23
2022-10-22,2.8,6.9,2022-23
2022-10-29,3.6,10.5,2022-23
2022-11-05,4.5,15.1,2022-23
2022-11-12,5.2,20.2,2022-23
2022-11-19,4.7,24.9,2022-23
2022-11-26,4.1,29.0,2022-23
2022-12-03,4.3,33.3,2022-23
2022-12-10,3.4,36.7,2022-23
2022-12-17,2.6,39.3,2022-23
2022-12-24,1.8,41.1,2022-23
2022-12-31,1.8,42.9,2022-23
2023-01-07,1.5,44.4,2022-23
2023-01-14,1.2,45.6,2022-23
2023-01-21,0.9,46.5,2022-23
2023-01-28,0.8,47.3,2022-23
2023-02-04,0.6,47.9,2022-23
2023-02-11,0.6,48.5,2022-23
2023-02-18,0.6,49.1,2022-23
2023-02-25,0.4,49.4,2022-23
2023-03-04,0.3,49.8,2022-23
2023-03-11,0.3,50.1,2022-23
2023-03-18,0.3,50.4,2022-23
2023-03-25,0.2,50.6,2022-23
2023-04-01,0.2,50.8,2022-23
2023-04-08,0.2,50.9,2022-23
2023-04-15,0.1,51.1,2022-23
2023-04-22,0.1,51.2,2022-23
2023-04-29,0.1,51.3,2022-23
2023-05-06,0.1,51.4,2022-23
2023-05-13,0.1,51.4,2022-23
2023-05-20,0.1,51.5,2022-23
2023-05-27,0.1,51.5,2022-23
2023-06-03,0.0,51.6,2022-23
2023-06-10,0.1,51.6,2022-23
2023-06-17,0.0,51.7,2022-23
2023-06-24,0.1,51.8,2022-23
2023-07-01,0.1,51.8,2022-23
2023-07-08,0.0,51.8,2022-23
2023-07-15,0.0,51.9,2022-23
2023-07-22,0.1,52.0,2022-23
2023-07-29,0.1,52.1,2022-23
2023-08-05,0.1,52.1,2022-23
2023-08-12,0.1,52.3,2022-23
2023-08-19,0.2,52.4,2022-23
2023-08-26,0.2,52.6,2022-23
2023-09-02,0.3,52.9,2022-23
2023-09-09,0.4,53.2,2022-23
2023-09-16,0.4,53.6,2022-23
2023-09-23,0.6,54.2,2022-23
2023-09-30,0.7,54.9,2022-23
2023-10-07,0.9,0.9,2023-24
2023-10-14,1.1,2.0,2023-24
2023-10-21,1.3,3.3,2023-24
2023-10-28,1.4,4.7,2023-24
2023-11-04,1.6,6.3,2023-24
2023-11-11,2.2,8.6,2023-24
2023-11-18,2.7,11.2,2023-24
2023-11-25,2.9,14.1,2023-24
2023-12-02,3.6,17.7,2023-24
2023-12-09,3.8,21.5,2023-24
2023-12-16,3.9,25.4,2023-24
2023-12-23,4.2,29.6,2023-24
2023-12-30,4.5,34.1,2023-24
2024-01-06,4.0,38.1,2023-24
2024-01-13,3.0,41.1,2023-24
2024-01-20,2.6,43.7,2023-24
2024-01-27,2.1,45.8,2023-24
2024-02-03,1.8,47.5,2023-24
2024-02-10,1.6,49.2,2023-24
2024-02-17,1.5,50.6,2023-24
2024-02-24,1.3,51.9,2023-24
2024-03-02,1.0,52.9,2023-24
2024-03-09,0.8,53.7,2023-24
2024-03-16,0.7,54.4,2023-24
2024-03-23,0.6,55.0,2023-24
2024-03-30,0.5,55.5,2023-24
2024-04-06,0.3,55.8,2023-24
2024-04-13,0.3,56.1,2023-24
2024-04-20,0.2,56.3,2023-24
2024-04-27,0.2,56.5,2023-24
2024-05-04,0.1,56.7,2023-24
2024-05-11,0.2,56.8,2023-24
2024-05-18,0.1,56.9,2023-24
2024-05-25,0.1,57.0,2023-24
2024-06-01,0.1,57.1,2023-24
2024-06-08,0.1,57.2,2023-24
2024-06-15,0.0,57.2,2023-24
2024-06-22,0.0,57.3,2023-24
2024-06-29,0.0,57.3,2023-24
2024-07-06,0.0,57.3,2023-24
2024-07-13,0.0,57.3,2023-24
2024-07-20,0.0,57.4,2023-24
2024-07-27,0.1,57.4,2023-24
2024-08-03,0.0,57.5,2023-24
2024-08-10,0.0,57.5,2023-24
2024-08-17,0.1,57.6,2023-24
2024-08-24,0.0,57.6,2023-24
2024-08-31,0.1,57.7,2023-24
2024-09-07,0.1,57.7,2023-24
2024-09-14,0.1,57.8,2023-24
2024-09-21,0.1,57.9,2023-24
2024-09-28,0.2,58.1,2023-24
2024-10-05,0.2,0.2,2024-25
2024-10-12,0.2,0.4,2024-25
2024-10-19,0.3,0.7,2024-25
2024-10-26,0.5,1.2,2024-25
2024-11-02,0.6,1.8,2024-25
2024-11-09,0.8,2.5,2024-25
2024-11-16,1.1,3.6,2024-25
2024-11-23,1.3,4.9,2024-25
2024-11-30,1.5,6.4,2024-25
2024-12-07,1.8,8.2,2024-25
2024-12-14,2.2,10.4,2024-25
2024-12-21,2.9,13.3,2024-25
2024-12-28,3.4,16.8,2024-25
2025-01-04,3.9,20.7,2024-25
2025-01-11,3.5,24.2,2024-25
2025-01-18,3.2,27.4,2024-25
2025-01-25,2.8,30.2,2024-25
2025-02-01,3.1,33.3,2024-25
2025-02-08,3.1,36.4,2024-25
2025-02-15,2.8,39.2,2024-25
2025-02-22,2.6,41.8,2024-25
2025-03-01,2.3,44.1,2024-25
2025-03-08,2.0,46.1,2024-25
2025-03-15,1.7,47.9,2024-25
2025-03-22,1.3,49.2,2024-25
2025-03-29,1.0,50.3,2024-25
2025-04-05,0.9,51.1,2024-25
2025-04-12,0.6,51.8,2024-25
2025-04-19,0.5,52.2,2024-25
2025-04-26,0.3,52.5,2024-25
2025-05-03,0.3,52.8,2024-25
2025-05-10,0.2,53.0,2024-25
2025-05-17,0.1,53.2,2024-25
2025-05-24,0.1,53.3,2024-25
2025-05-31,0.1,53.4,2024-25
2025-06-07,0.1,53.4,2024-25
2025-06-14,0.1,53.5,2024-25
2025-06-21,0.1,53.6,2024-25
2025-06-28,0.0,53.6,2024-25
2025-07-05,0.0,53.6,2024-25
2025-07-12,0.0,53.7,2024-25
2025-07-19,0.0,53.7,2024-25
2025-07-26,0.0,53.8,2024-25
2025-08-02,0.0,53.8,2024-25
2025-08-09,0.1,53.9,2024-25
2025-08-16,0.1,53.9,2024-25
2025-08-23,0.0,53.9,2024-25
2025-08-30,0.1,54.0,2024-25
2025-09-06,0.1,54.1,2024-25
2025-09-13,0.1,54.1,2024-25
2025-09-20,0.1,54.2,2024-25
2025-09-27,0.1,54.3,2024-25
